name,address,phone,email,lat,lng,url,rating_count,star_count,country,state,w,zip,facebook_link,instagram_link,twitter_link,whatsapp_link,tiktok_link,linkedin_link,youtube_link,primary_category_name,category_name,detailed_state,detailed_district
Hanuman Prasad Meena,,,,26.227005,76.664115,https://hanuman-prasad-meena.business.site/,0.0,0.0,India,Rajasthan,,,,,,,,,,Rice mills,"Service establishments,Rice mills,Companies",Rajasthan,Karauli
Jaisal Heritage Basmati RICE,"5W7H+XJW, Boranada, Rajasthan 342012, India",+91 90014 70999,rice@anvieximrice.com,26.1649853,72.9290935,http://www.anvieximrice.com/,2.0,5.0,India,Rajasthan,,342012,https://www.facebook.com/jaisalbasmati/,https://www.instagram.com/jaisalbasmatirice/,https://twitter.com/jaisalheritage,https://wa.me/919001470999,,,https://www.youtube.com/channel/UCbI96EmSoZqBDhA6mtgyy5g,Rice mills,Rice mills,Rajasthan,Jodhpur(Rural)
RK Global,,+91 94141 60724,,24.6173595,74.0067494,,0.0,0.0,India,Rajasthan,,,,,,,,,,Rice mills,"Rice mills,Service establishments,Companies",Rajasthan,Udaipur
Kanav Nutritional foods,"E-2112, Ramchandrapura, Industrial area, Jaipur, Vimalpura, Rajasthan 303905, India",,,26.7807149,75.8846393,,0.0,0.0,India,Rajasthan,,303905,,,,,,,,Rice mills,Rice mills,Rajasthan,Jaipur
Hadoti Rice Mill,"CJFC+C99, Bundi, Rajasthan 323001, India",+91 94146 27857,,25.4235369,75.6209935,,4.0,5.0,India,Rajasthan,,323001,,,,,,,,Rice mills,Rice mills,Rajasthan,Bundi
Raj Rice Mill,"6 & 7 B.C, R. Industrial Area, Shiv Colony, Bundi, Rajasthan 323001, India",+91 94141 75341,,25.4313445,75.6293495,,11.0,4.6,India,Rajasthan,,323001,,,,,,,,Rice mills,Rice mills,Rajasthan,Bundi
Anvi Exim,"G24, Bornada Industrial Park, Boronada, Jodhpur, Rajasthan 342001, India",+91 90014 70999,rice@anvieximrice.com,26.1649542,72.9293115,http://www.anvieximrice.com/,12.0,4.6,India,Rajasthan,,342001,https://www.facebook.com/jaisalbasmati/,https://www.instagram.com/jaisalbasmatirice/,https://twitter.com/jaisalheritage,https://wa.me/919001470999,,,https://www.youtube.com/channel/UCbI96EmSoZqBDhA6mtgyy5g,Rice mills,Rice mills,Rajasthan,Jodhpur(Rural)
Scaling FoodCrest Private Limited,"DIET Road, Kanjri Silor, Rajasthan 323001, India",,scalingfoodcrest@gmail.com,25.4270244,75.6150066,https://sites.google.com/view/scaling-foodcrest/home,2.0,3.0,India,Rajasthan,,323001,,,,,,,,Rice mills,Rice mills,Rajasthan,Bundi
Shree Shyam rice house,"KITRI MODA, Mansingh Colony, Neem Ka Thana, Rajasthan 332713, India",,,27.7379987,75.7889854,,2.0,5.0,India,Rajasthan,Neem ka Thana,332713,,,,,,,,Rice mills,Rice mills,Rajasthan,Neem Ka Thana
SOMANI INDUSTRIES-BUNDI,"16 BCR, Industrial Area, Bundi, Rajasthan 323001, India",,,25.4317335,75.6302208,,0.0,0.0,India,Rajasthan,,,,,,,,,,Rice mills,Rice mills,Rajasthan,Bundi
Tansen Foods Pvt. Ltd.,"CJFF+R3C, Bundi, Rajasthan 323001, India",+91 87641 27341,,25.4245506,75.6226464,http://www.tansenfoods.com/contact-us.htm,2.0,4.5,India,Rajasthan,,,,,,,,,,Rice mills,Rice mills,Rajasthan,Bundi
Shri Ram Rice Mill,"Dolara, Balapura, Rajasthan 323001, India",,,25.4060393,75.6804813,,2.0,3.0,India,Rajasthan,,323001,,,,,,,,Rice mills,Rice mills,Rajasthan,Bundi
Suraj Industries,"Diet Road, Kanjri Silor, Rajasthan 323001, India",,,25.426934,75.6216473,https://surajindustries-bundi.business.site/,0.0,0.0,India,Rajasthan,,323001,,,,,,,,Rice mills,Rice mills,Rajasthan,Bundi
tansen rice,"Meera gate, Bundi, Rajasthan 323001, India",,,25.4221554,75.6359141,,0.0,0.0,India,Rajasthan,,323001,,,,,,,,Rice mills,Rice mills,Rajasthan,Bundi
Pokra Agro,"CH6Q+44M, Hattipura, Rajasthan 323001, India",,,25.4103267,75.5878083,,1.0,5.0,India,Rajasthan,,323001,,,,,,,,Rice mills,Rice mills,Rajasthan,Bundi
Haji Flour and Rice Mill,"N/A, Jameetpura, Rajasthan 323021, India",,,25.3124004,75.7614067,,0.0,0.0,India,Rajasthan,,323021,,,,,,,,Flour mills,"Flour mills,Rice mills",Rajasthan,Bundi
Kamrup Machinery Stores Pvt Ltd | Agricultual Machinery | Food processing machinery | Construction & Civil Machinery,"Fly Over, Assam Trunk Rd, Tokobari Satra, Guwahati, Assam 781001, India",+91 94350 44598,kmspl2000@yahoo.co.in,26.1766854,91.740937,http://www.kamrupmachinery.com/,58.0,4.1,India,Assam,Guwahati,781001,,,,,,,,Agricultural Product Wholesalers,"Industrial equipment suppliers,Saw mills,Rice mills,Construction machine dealers,Agricultural Product Wholesalers,Diesel engine dealers,Food processing equipments,Flour mills",Assam,Kamrup Metropolitan
Shree Balajee Traders,"Dhanuka Complex, 3 A Block,, Athgaon, Guwahati, Assam 781001, India",+91 83999 25075,,26.1741997,91.7402913,https://shree-balajee-traders-guwahati.business.site/,49.0,3.8,India,Assam,Dispur,781001,,,,,,,,Scale suppliers,"Scale suppliers,Scale repair services,Packaging supply stores,Packaging machineries,Food machinery suppliers,Machine shops,Sewing machine stores,Rice mills,Construction machine dealers,Material handling equipment suppliers,Weighing Scale Suppliers",Assam,Kamrup Metropolitan
Gauhati Industrial Spares,"Below Athgaon Flyover, Assam Trunk Rd, Guwahati, Assam 781001, India",+91 361 251 8781,,26.1769368,91.7412596,,21.0,3.9,India,Assam,Guwahati,781001,,,,,,,,Agricultural Product Wholesalers,"Electric generator shops,Rice mills,Agricultural Product Wholesalers,Diesel engine dealers",Assam,Kamrup Metropolitan
Ganapati Rice Mill,"Borbali, Bihpuria Road, Assam 784163, India",+91 91015 02970,,27.0441867,93.8586906,,0.0,0.0,India,Assam,,784163,,,,,,,,Manufacturers,"Rice mills,Manufacturers",Assam,Lakhimpur
Modern Machineries and Electricals,"Chambers Rd, Fancy Ali, Jorhat, Kalakhowa Gaon, Assam 785001, India",+91 376 232 1237,,26.7599252,94.2166096,,6.0,5.0,India,Assam,Jorhat,785001,,,,,,,,Industrial equipment suppliers,"Machine shops,Rice mills,Electrical substations,Industrial equipment suppliers,Industrial spares and products wholesalers,Electrical products wholesalers",Assam,Jorhat
Nasrin Rice Mill.,"4QGG+H45, Pragati path, Khanka Rd, Sijubari, Hatigaon, Guwahati, Assam 781038, India",,,26.1263752,91.7753505,,3.0,5.0,India,Assam,Dispur,781038,,,,,,,,Rice mills,Rice mills,Assam,Kamrup Metropolitan
B MEDHI RICE MILL,"BHAKATPARA TAMULPUR, Assam 781367, India",,,26.1586854,91.7504035,,0.0,0.0,India,Assam,Dispur,781367,,,,,,,,Rice mills,Rice mills,Assam,Kamrup Metropolitan
PATHERKANDI RICE & OIL MILLS,"Meherpur, Birbal Bazar, Meherpur Road, Silchar, Assam 788015, India",+91 3842 224 868,,24.7865143,92.7960856,,0.0,0.0,India,Assam,Silchar,788015,,,,,,,,Rice mills,Rice mills,Assam,Cachar
XENON FARM TECH PRIVATE LIMITED,"At Road, Purana Gayan Gaon, Sonali Jayanti Nagar, Tarajan, Jorhat, Bhatemora Gaon, Assam 785001, India",+91 60034 09765,,26.7545832,94.1930643,,17.0,5.0,India,Assam,Jorhat,785001,,,,,,,,Farm equipment suppliers,"Water Pump Suppliers,Agriculture machines suppliers,Machine shops,Farm equipment suppliers,Rice mills,Agricultural service supply agencies",Assam,Jorhat
Wellcare,"Col. J. Ali Rd, Near Hari Sabha, Pan Bazaar, Guwahati, Assam 781001, India",+91 88263 53502,info@wellcaregrp.in,26.1846096,91.7425784,http://wellcaregrp.in/,0.0,0.0,India,Assam,Guwahati,781001,https://www.facebook.com/wellcareghy/,,,,,,https://www.youtube.com/watch?v=x5OsiDq10Yc,Pharmaceutical companies,"Pharmaceutical companies,Rice mills",Assam,Kamrup Metropolitan
Phevima Rice Mill,"VMXX+W7P, Village, Kacharigaon, Dimapur, Nagaland 797113, India",,,25.8998466,93.6981901,,0.0,0.0,India,Assam,Diphu,797113,,,,,,,,Rice mills,Rice mills,Nagaland,Dimapur
Green Valley Rice Tech Private Limited,"Village: Abhoypur, PO. College Nagar Dist: Kamrup, North Guwahati, Guwahati, Assam 781031, India",,,26.2064281,91.7048997,,1.0,5.0,India,Assam,,781031,,,,,,,,Rice mills,Rice mills,Assam,Kamrup
Rice mill,"5RJP+J34, Narengi Tinali, No.2 Bonda, Assam 781026, India",,,26.181508,91.8351942,,1.0,5.0,India,Assam,Dispur,,,,,,,,,Rice mills,Rice mills,Assam,Kamrup Metropolitan
M/S KONWAR RICE MILL,"Nowpara village, Birubari, Guwahati, Assam 785671, India",,,26.1619712,91.766784,https://ms-konwar-rice-mill.business.site/?utm_source=gmb&utm_medium=referral,0.0,0.0,India,Assam,Dispur,785671,,,,,,,,Rice mills,Rice mills,Assam,Kamrup Metropolitan
suruj indusry,"5Q67+QCJ, Kapash bari, Birubari, Guwahati, Assam 782445, India",,,26.1619712,91.7635072,,0.0,0.0,India,Assam,Dispur,782445,,,,,,,,Rice mills,Rice mills,Assam,Kamrup Metropolitan
Dauranga Krishi Pratisthan,"5PMV+H6H, Col. J. Ali Rd, Near Hari Sabha, Pan Bazaar, Guwahati, Assam 781001, India",,,26.1839387,91.7431245,,0.0,0.0,India,Assam,Guwahati,781001,,,,,,,,Rice mills,Rice mills,Assam,Kamrup Metropolitan
ASHOK RICE MILL,"4G34+8GP, Dakhala Rd, Uparhali, Bijoynagar, Assam 781122, India",,,26.1033428,91.5063219,,6.0,4.3,India,Assam,,781122,,,,,,,,Rice mills,Rice mills,Assam,Kamrup
India Maha Bachat service,"Paltan Bazaar, Guwahati, Assam 781371, India",,,26.1792492,91.7532876,,1.0,4.0,India,Assam,Guwahati,781371,,,,,,,,Rice mills,Rice mills,Assam,Kamrup Metropolitan
JYOTISHMAN SAIKIA RICE MILL,"Bihpuria to Laluk Road, Nepali, Santapur, Chariali, Assam 784161, India",,,27.0270529,93.9409643,,8.0,5.0,India,Assam,,784161,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Moina Rice Mills (HATILUNG),"63G7+55W, Hatilung, Assam 787031, India",,,27.2254902,94.0629532,,0.0,0.0,India,Assam,North Lakhimpur,787031,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Gormur Rice Mill,"4WWG+FG6, Unnamed Road, Harmuti, Pachim Laluk No.1, Assam 784160, India",,,27.1461596,93.9262555,,1.0,5.0,India,Assam,,784160,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Deba rice mill,"XV99+9RP, Sesa Miri No.2, Panbari, Assam 784165, India",,,26.9684609,93.8695643,,0.0,0.0,India,Assam,,784165,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
SUBEDI RICE MILL (DONGIBIL),"3W73+PG4, Dongibill, Assam 784161, India",,,27.0643731,93.9035038,,3.0,5.0,India,Assam,,784161,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Lakhi prova rice mill,"Lilabari Airport Road, Chandmari, Sonari, Assam 787051, India",,,27.275752,94.093555,,2.0,3.5,India,Assam,North Lakhimpur,787051,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
MANUJ RICE MILL,"74VM+5G7, Na-Ali Majgaon, Assam 787051, India",+91 93656 80616,,27.2929062,94.1338115,,0.0,0.0,India,Assam,,787051,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Bhabani Rice Mill,"4WGP+5GV, Nizlaluk, Laluk, Assam 784160, India",,,27.1254901,93.9363032,,1.0,3.0,India,Assam,,784160,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Bishnupur Rice Mill,"5WJ3+MJ3, Dhekiajuli No.3, Assam 784160, India",,,27.1816442,93.9040427,,2.0,5.0,India,Assam,,784160,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Moni rice mill,"XVC8+5RX, Panbari, No.2 Kinapathar, Assam 784164, India",,,26.9704867,93.8671051,,1.0,5.0,India,Assam,,,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Rimon sonowal rice mill,"95CC+2P9, Nabil Gaon, Assam 787032, India",,,27.370034,94.1718542,,0.0,0.0,India,Assam,,787032,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Gazi Rice Mill,"62V8+7VX, Kandura Pathar, Orang Basti, Assam 787031, India",,,27.2432281,94.0172423,,0.0,0.0,India,Assam,,787031,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Sonowal Rice Mill,"5WG9+C8, Tunijan Christian, Assam 784160, India",,,27.1760571,93.9184039,,0.0,0.0,India,Assam,,,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Pabitra Pawe Rice Mill,"6322+5QQ, NH 15, Pohumara, Assam 787031, India",,,27.2004514,94.0519746,,0.0,0.0,India,Assam,,787031,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Kanailal tanti,"RUKNI.TE, Sonai, Assam 788116, India",,,24.7326006,92.8888912,,0.0,0.0,India,Assam,,788116,,,,,,,,Rice mills,Rice mills,Assam,Cachar
Rice mill,"6W2Q+62W, Lakhimi gaon, Nowboicha, Assam 782441, India",,,26.2006043,92.9375739,,1.0,4.0,India,Assam,,,,,,,,,,Rice mills,Rice mills,Assam,Hojai
Gogoi Rice Mill,"WH7V+V9X, Chetia Changmai, Assam 785666, India",,,26.914734,94.5934692,,1.0,4.0,India,Assam,Amguri,785666,,,,,,,,Rice mills,Rice mills,Assam,Sivasagar
"Jalan Rice Mill, Titabar","J623+CHM, Handique Gaon, Titabor, Assam 785630, India",,,26.6010852,94.2039136,,0.0,0.0,India,Assam,,785630,,,,,,,,Rice mills,Rice mills,Assam,Jorhat
BR Rice Mill,"P6W3+J28, Abbas Nagar, Atilagaon, Jorhat, Assam 785001, India",,,26.74655,94.2025867,,1.0,5.0,India,Assam,Jorhat,,,,,,,,,Rice mills,Rice mills,Assam,Jorhat
NEELAM RICE MILL,"64VC+5GW, Konwar Gaon Rd, North Lakhimpur, Assam 787001, India",,,27.242989,94.1213135,,2.0,4.5,India,Assam,North Lakhimpur,787001,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
AHMED EXPORTS,"Shop no 2, Hailakandi Rd, Kathal Point, Silchar, Kanakpur Part-II, Assam 788006, India",+91 70021 40554,,24.801143,92.7928074,http://www.ahmedexports.in/,29.0,4.8,India,Assam,Silchar,788006,https://www.facebook.com/ahmedexports1,https://www.instagram.com/ahmedexports1,,,,,https://www.youtube.com/c/AHMEDEXPORTS,Food machinery suppliers,"Food processing equipments,Water Pump Suppliers,Electric motor stores,Electrical equipment suppliers,Industrial equipment suppliers,Food machinery suppliers,Machine shops,Agricultural machinery manufacturers,Rice mills",Assam,Cachar
Rice Mill,"54MR+49M, Jaritup, Assam 787052, India",,,27.1828423,94.1409189,,0.0,0.0,India,Assam,North Lakhimpur,787052,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Mill,"VQ4C+C7Q, Ramnagar, Silchar, Assam 788003, India",,,24.8560815,92.7707326,,0.0,0.0,India,Assam,Silchar,788003,,,,,,,,Rice mills,Rice mills,Assam,Cachar
Boruah Commercial Place.,"high school, No.2 Dakhin Goan Road Near By Madhya Champara, Ghilamora, Assam 787053, India",,,27.3066757,94.3707955,,0.0,0.0,India,Assam,,787053,,,,,,,,Welding supply stores,"Welding supply stores,Fabrication Engineers,Rice mills,Woodworkers,Photo labs,Oilfields,Photo prints",Assam,Lakhimpur
NR RICE AND FLOUR MILLS,"Borpool, Jorhat, Kalakhowa Gaon, Assam 785010, India",,,26.7672767,94.2330852,,8.0,4.9,India,Assam,Jorhat,785010,,,,,,,,Flour mills,"Flour mills,Rice shops,Sugar shacks,Rice wholesalers,Animal feed stores,Rice mills,Wholesale grocers,Wholesalers",Assam,Jorhat
Rice_Mill,"PVR6+44C, Silchar Rd, Sonai, Dhanipur, Assam 788119, India",,,24.7403124,92.8602614,,0.0,0.0,India,Assam,,,,,,,,,,Rice mills,Rice mills,Assam,Cachar
Household Rice Mill,"CWWF+PWW, Mancotta Teporgaon, Chandan Nagar, Dibrugarh, Assam 786003, India",,,27.446854,94.9248201,,1.0,5.0,India,Assam,Dibrugarh,786003,,,,,,,,Rice mills,Rice mills,Assam,Dibrugarh
Krishna Chira & Rice Mill,"Shop No 1, Santonu Building, Anaighoria, Sensuwa Nora Gaon Road, Anaighoria, Assam 787031, India",+91 86388 92317,,27.1738442,94.085057,,1.0,5.0,India,Assam,North Lakhimpur,787031,,,,,,,,General stores,"Rice mills,General stores",Assam,Lakhimpur
Basanta Mill,"6453+VPJ, Sunari, Assam 787031, India",,,27.2097241,94.1042764,,3.0,2.3,India,Assam,North Lakhimpur,,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Shuvam's Prime Food,"SHUVAM GUEST HOUSE, Srikanta Dutta Path, Odalbakra, Lal Ganesh, Guwahati, Assam 781034, India",+91 97060 12055,,26.1377669,91.7455961,,58.0,4.9,India,Assam,Dispur,781034,,,,,,,,Indian restaurants,"Indian restaurants,Bengali restaurants,Rice mills",Assam,Kamrup Metropolitan
"CHETIA Rice, Flour & Mustard oil Expeller Mill","P.O. - Rangati, Village - No. 3 Nimuri, Dist, Narayanapur, Assam 784165, India",,,26.9752193,93.7673819,,0.0,0.0,India,Assam,,784165,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Sree Bajrang Oil & Flour Mills,"Assam Trunk Rd, Bokakhat, Mohmaiki, Assam 785612, India",,,26.638172,93.6235264,https://sree-bajrang-oil-flour-mills.business.site/?utm_source=gmb&utm_medium=referral,0.0,0.0,India,Assam,,785612,,,,,,,,Rice mills,Rice mills,Assam,Golaghat
Moran Rice & Flour Mills,"Moran-Sonari, Path, Ushapur, Moranhat Town, Assam 785670, India",+91 94351 95853,,27.179929,94.915553,,435.0,3.7,India,Assam,,785670,,,,,,,,Rice mills,"Flour mills,Rice mills,Animal feed stores,Indian grocery stores",Assam,Charaideo
Modi Rice Flour and Oil Mills,"Station Tin Ali, Titabor, Assam 785630, India",,,26.5991591,94.1989347,,9.0,4.3,India,Assam,,785630,,,,,,,,Rice mills,Rice mills,Assam,Jorhat
Bijoy Rice & Flour Mill,"5WJ8+332, Moran - Sonari Rd, Moranhat, Assam 785670, India",,,27.1801488,94.9151388,,2.0,5.0,India,Assam,,785670,,,,,,,,Rice mills,Rice mills,Assam,Charaideo
Manohar Chira Mill,"Q55V+4MW, Smashan Rd, Sonali Jayanti Nagar, Tarajan, Jorhat, Bhatemora Gaon, Assam 785001, India",+91 94350 91543,,26.7578539,94.1942148,,0.0,0.0,India,Assam,Jorhat,785001,,,,,,,,Rice mills,Rice mills,Assam,Jorhat
Bharati rice mill,"Bahuwa Bari to Teteli Guri Rd, Pahukhowa Doloni, Assam 785671, India",+91 94019 98777,,27.2216472,94.7154929,,2.0,4.0,India,Assam,,785671,,,,,,,,Rice mills,Rice mills,Assam,Sivasagar
NAWALCHAND RAMKISHAN,"opposite Silkalay, New Colony, Jorhat, Dulia Gaon, Assam 785001, India",,,26.7617555,94.214452,,5.0,5.0,India,Assam,Jorhat,785001,,,,,,,,Rice shops,"Rice mills,Wholesale grocers,Wholesalers,Wholesale markets,Flour mills,Rice shops,Sugar shacks",Assam,Jorhat
Shree Satnarayan Rice & Flour Mills,"F272+RGH, Furkating, Tarphat, Assam 785702, India",,,26.4645685,94.0013506,,0.0,0.0,India,Assam,Golaghat,,,,,,,,,Rice mills,Rice mills,Assam,Golaghat
Rudhrah Singh Rice Mill,"FH86+HJP, Bhehpara, Dhemaji, Nalanipam, Assam 787057, India",,,27.4664601,94.5615722,,0.0,0.0,India,Assam,Dhemaji,787057,,,,,,,,Rice mills,Rice mills,Assam,Dhemaji
Ms Assam Rice,"Vill.- Borpathar, Silapathar Silapathar, Distt, Assam 787059, India",,,27.6151348,94.7082196,,0.0,0.0,India,Assam,,787059,,,,,,,,Rice mills,Rice mills,Assam,Dhemaji
Sharma rice mill,"5P8Q+PHV, Bishnupur, Fatasil Ambari, Guwahati, Assam 781001, India",,,26.1668649,91.7389133,,2.0,4.0,India,Assam,Dispur,781001,,,,,,,,Rice mills,Rice mills,Assam,Kamrup Metropolitan
Maa Raju rice mill,"4JXJ+789, Dharapur, Guwahati, Assam 781014, India",,,26.1481627,91.6308609,,0.0,0.0,India,Assam,,781014,,,,,,,,Rice mills,Rice mills,Assam,Kamrup Metropolitan
Saidul Rice Mill,"Tulargram Part 2, Sonai, Silchar, Assam 788119, India",,,24.717053,92.8771858,,0.0,0.0,India,Assam,,788119,,,,,,,,Rice mills,Rice mills,Assam,Cachar
Sony rice mill,"QHFW+58C, Kapnarpar, Algapur Pt I, Assam 788150, India",,,24.7729291,92.5957658,,2.0,4.0,India,Assam,,788150,,,,,,,,Rice mills,Rice mills,Assam,Hailakandi district
Chira Mill,"MHM4+XX3, Laxmisahar Rd, Gangpar Dhumkar, Hailakandi, Assam 788152, India",,,24.6848974,92.5574228,,0.0,0.0,India,Assam,Hailakandi,788152,,,,,,,,Rice mills,Rice mills,Assam,Hailakandi district
Naba Shankar Rice Mill,"Vill Jorhatia P.O. Charaimoria, North Lakhimpur, Assam 787001, India",,,27.2724703,94.1324827,https://naba-shankar-rice-mill.business.site/?utm_source=gmb&utm_medium=referral,4.0,4.8,India,Assam,North Lakhimpur,787001,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Dutta Rice Mill,"lakhimpur Dolohat 2, No.2 Solmaria, Assam 787023, India",,,27.1511401,94.0021532,,2.0,4.5,India,Assam,,787023,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Barundeo rice mill,"64RH+JG9, Block Road, Kunwar Gaon, Assam 787001, India",,,27.2415358,94.128859,,0.0,0.0,India,Assam,North Lakhimpur,787001,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
"Krishna oil mill,Dhakuakhana","6C3V+R3R, Dhakuakhana, Huz Gaon, Assam 787055, India",,,27.2046013,94.4426343,,0.0,0.0,India,Assam,,787055,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Dutta oil And Rice mill,"7CV3+JV7, Lamudeowalia, Assam 787053, India",,,27.2939705,94.404779,,1.0,5.0,India,Assam,,787053,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Bora Rice & Musturd Oil Mill,"6W4F+8C5, Phulbari, Kamalpur, Assam 787023, India",,,27.2057718,93.9236051,,0.0,0.0,India,Assam,,,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
Maha Laxmi rice Mill,"Bherakuchi, Khetri, Pachim Nagaon, Assam 782403, India",+91 98540 17242,,26.1051729,92.1314987,,2.0,5.0,India,Assam,,782403,,,,,,,,Rice mills,"Rice mills,Mills",Assam,Kamrup Metropolitan
Choudhury Rice Mill Algapur,"QH6V+97X, Algapur Bazar, To, Assam 788150, India",,,24.7609909,92.5932218,,0.0,0.0,India,Assam,,788150,,,,,,,,Rice mills,Rice mills,Assam,Hailakandi district
Rice Mill,"Q649+W8W, Gar-Ali, Jorhat, Assam 785001, India",,,26.7573621,94.2183272,,1.0,4.0,India,Assam,Jorhat,785001,,,,,,,,Rice mills,Rice mills,Assam,Jorhat
H.B. SONS FOOD PROCESSING INDUSTRY,"3VP7+RH6, Unnamed Road, Doba Grant, Parachoni Habi, Assam 785673, India",,,27.0870362,94.863885,,1.0,5.0,India,Assam,,785673,,,,,,,,Rice mills,Rice mills,Assam,Charaideo
JAI SHREE KRISHNA DEVELOPERS (Agro Processing Cluster),"Habeda Bagicha, Gaon, Makum, Hebeda Bongali Gaon, Assam 786170, India",+91 99570 25770,,27.4727714,95.4244274,,1.0,5.0,India,Assam,Tinsukia,786170,,,,,,,,Food Processing Companies,"Warehouses,Rice mills,Food Processing Companies,Cold storage facilities,Tea Manufacturers,Animal feed stores",Assam,Tinsukia
Handique Rice Mill,"74QC+8P2, Siralbari, North Lakhimpur, Kadambasti, Assam 787051, India",,,27.2882708,94.1217797,,2.0,4.5,India,Assam,North Lakhimpur,,,,,,,,,Rice mills,Rice mills,Assam,Lakhimpur
